DESIG,OBSID,RA,DEC,SN/g,SUBCLASS
LAMOST J082344.27+305006.9,257816224,125.934464,30.835266,80.1,Ap
LAMOST J000226.06+163952.8,54905166,0.608618,16.664694,54.81,K
LAMOST J063852.95+003634.5,385405126,99.720651,0.609611,91.61,Ap
LAMOST J055537.28+093309.9,471411054,88.905344,9.552774,61.16,M
LAMOST J073908.34+535232.4,448312033,114.78478,53.875672,92.44,A
LAMOST J140618.96+083035.0,50808106,211.57901,8.509731,50.99,K
LAMOST J062950.49+150315.7,435501064,97.460378,15.054377,78.64,A
LAMOST J061055.21+225755.3,486804183,92.730061,22.965375,474.88,A
LAMOST J061331.78+245240.5,483211052,93.382431,24.877917,121.01,A
LAMOST J024652.46-005441.8,18114211,41.718614,-0.911619,57.01,G
LAMOST J122657.43+270051.3,450604119,186.739322,27.014269,75.84,M
LAMOST J063429.78+001212.1,385402055,98.624891,0.203929,173.61,M
LAMOST J064909.53+114307.9,415707059,102.28972,11.718876,55.1,Ap
LAMOST J135759.56+090215.3,50903245,209.49817,9.037606,143.32,K
LAMOST J025513.76+011947.5,216036,43.80734,1.32988,63.88,F
LAMOST J063934.21-021630.1,898313240,99.892566,-2.275045,181.68,B
LAMOST J034320.53+073522.2,7408029,55.83556,7.5895,97.35,F
LAMOST J060934.78+233714.6,399915180,92.394929,23.620734,116.17,A
LAMOST J110944.42+261343.2,15406209,167.435114,26.22867,50.25,G
LAMOST J061121.28+210347.9,399901106,92.838671,21.063328,107.65,A
LAMOST J064649.89+080451.2,615903063,101.707882,8.080892,137.73,Ap
LAMOST J121222.61+285306.4,422604121,183.094222,28.885131,55.08,M
LAMOST J003623.07+393502.0,1602188,9.096156,39.583906,56.93,F
LAMOST J223245.71+322728.3,1216021,338.190496,32.457878,52.74,F
LAMOST J114539.18+311741.2,399005096,176.413276,31.294801,63.8,M
LAMOST J103753.82+254146.6,16001053,159.4731,25.696291,61.14,G
LAMOST J005126.02+342112.4,15804085,12.85843,34.35345,70.72,G
LAMOST J035925.50+554304.7,354114086,59.856259,55.717993,59.48,B
LAMOST J061942.01+194813.0,44910125,94.925046,19.803614,162.48,Ap
LAMOST J062508.98+203304.6,428001112,96.287435,20.551294,120.52,A
LAMOST J054613.28+402902.7,42613211,86.555371,40.484103,54.37,Ap
LAMOST J065801.79+013828.3,368907027,104.507465,1.641208,84.13,Ap
LAMOST J003129.81+312336.3,387011237,7.874232,31.393434,50.65,M
LAMOST J092016.67+271651.3,15904247,140.069489,27.280943,61.89,G
